"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app.config.js", "JavaScript", 0, 23, 0, 0, 0, 23
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\_layout.jsx", "JavaScript JSX", 0, 0, -20, -7, -9, -36
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\[fixtureId]\index.jsx", "JavaScript JSX", 0, 0, 10, 0, 2, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\[instanceId]\index.jsx", "JavaScript JSX", 0, 0, 90, -3, 11, 98
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\index.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\create-blueprint\requirements.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 120
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\index.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 39
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\initiate-competition\index.jsx", "JavaScript JSX", 0, 0, 120, 8, 9, 137
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\competitions\team-management.jsx", "JavaScript JSX", 0, 0, 151, 0, 7, 158
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\index.jsx", "JavaScript JSX", 0, 0, 12, 0, 3, 15
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\[fixtureId]\submit-results.jsx", "JavaScript JSX", 0, 0, -10, 14, -12, -8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\_layout.jsx", "JavaScript JSX", 0, 0, 8, 0, 1, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\help\index.jsx", "JavaScript JSX", 0, 0, 204, 1, 3, 208
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\index.jsx", "JavaScript JSX", 0, 0, 57, 0, -2, 55
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\paywall.jsx", "JavaScript JSX", 0, 0, 29, 0, 3, 32
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\transfers\_layout.jsx", "JavaScript JSX", 0, 0, 9, 0, 3, 12
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\home\transfers\index.jsx", "JavaScript JSX", 0, 0, 5, 0, 3, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\index.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\_layout.jsx", "JavaScript JSX", 0, 0, -5, 0, 0, -5
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\explore\_layout.jsx", "JavaScript JSX", 0, 0, -12, 0, -4, -16
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\explore\index.jsx", "JavaScript JSX", 0, 0, -256, -4, -17, -277
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\badges.jsx", "JavaScript JSX", 0, 0, 39, 0, 3, 42
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\index.jsx", "JavaScript JSX", 0, 0, 55, 0, -1, 54
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\leaderboard.jsx", "JavaScript JSX", 0, 0, 133, 7, 15, 155
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\index.jsx", "JavaScript JSX", 0, 0, 37, 0, 3, 40
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\index.jsx", "JavaScript JSX", 0, 0, 95, 2, 6, 103
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\role-select.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Account.jsx", "JavaScript JSX", 0, 0, -286, -8, -32, -326
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\FixtureAndScheduling.jsx", "JavaScript JSX", 0, 0, -69, 0, -5, -74
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\LeagueConfig.jsx", "JavaScript JSX", 0, 0, 151, 0, 26, 177
