"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Properties", "JavaScript JSX", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile-creation-team.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 6, 121
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 4, 64
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 4, 61
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Abbreviation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 2, 11, 128
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\ExcludedDates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 2, 9, 115
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\FixtureAndScheduling.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 5, 74
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\LeagueConfig.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 6, 78
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\MatchDays.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 119, 0, 0, 15, 134
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\MatchFrequency.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 4, 47
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\MatchTimes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 15, 123
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\PersonalDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 152, 0, 3, 20, 175
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\SignInAndSecurity.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\StartNewSeason.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 354, 0, 9, 33, 396
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamCrest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 1, 8, 81
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 2, 8, 112
